iter	Passed	Remaining
1174	81553	57261
1175	81620	57189
1176	81681	57114
1177	81741	57038
1178	81802	56963
1179	81867	56890
1180	81931	56817
1181	82008	56753
1182	82068	56677
1183	82129	56602
1184	82190	56527
1185	82252	56453
1186	82313	56377
1187	82372	56302
1188	82431	56225
1189	82494	56151
1190	82559	56079
1191	82621	56005
1192	82687	55933
1193	82758	55865
1194	82819	55790
1195	82882	55717
1196	82943	55642
1197	83006	55568
1198	83074	55498
1199	83135	55423
1200	83195	55348
1201	83264	55279
1202	83327	55205
1203	83388	55130
1204	83458	55062
1205	83526	54991
1206	83590	54918
1207	83651	54844
1208	83715	54771
1209	83776	54697
1210	83836	54621
1211	83892	54543
1212	83950	54467
1213	84014	54394
1214	84092	54331
1215	84154	54257
1216	84216	54183
1217	84276	54108
1218	84341	54036
1219	84404	53963
1220	84468	53890
1221	84532	53818
1222	84593	53744
1223	84654	53669
1224	84711	53592
1225	84774	53519
1226	84850	53455
1227	84915	53383
1228	84981	53311
1229	85043	53238
1230	85103	53163
1231	85161	53087
1232	85224	53014
1233	85286	52940
1234	85346	52866
1235	85409	52793
1236	85468	52718
1237	85530	52644
1238	85590	52570
1239	85649	52494
1240	85709	52420
1241	85770	52345
1242	85833	52273
1243	85892	52198
1244	85954	52125
1245	86017	52052
1246	86094	51988
1247	86160	51917
1248	86233	51850
1249	86294	51776
1250	86359	51704
1251	86424	51634
1252	86483	51558
1253	86543	51484
1254	86605	51411
1255	86679	51345
1256	86733	51267
1257	86789	51190
1258	86850	51116
1259	86916	51046
1260	86977	50972
1261	87035	50897
1262	87101	50826
1263	87162	50752
1264	87221	50678
1265	87284	50605
1266	87344	50531
1267	87425	50469
1268	87483	50394
1269	87546	50322
1270	87611	50250
1271	87673	50178
1272	87734	50104
1273	87802	50034
1274	87863	49961
1275	87925	49888
1276	87984	49814
1277	88043	49739
1278	88098	49663
1279	88158	49589
1280	88218	49515
1281	88288	49446
1282	88351	49374
1283	88416	49303
1284	88477	49230
1285	88537	49156
1286	88604	49086
1287	88661	49011
1288	88723	48939
1289	88776	48861
1290	88836	48787
1291	88901	48717
1292	88964	48644
1293	89026	48572
1294	89089	48500
1295	89151	48427
1296	89206	48351
1297	89263	48276
1298	89321	48202
1299	89379	48127
1300	89441	48054
1301	89506	47984
1302	89574	47915
1303	89639	47844
1304	89699	47770
1305	89759	47697
1306	89819	47624
1307	89878	47550
1308	89941	47478
1309	90002	47406
1310	90065	47334
1311	90131	47263
1312	90191	47190
1313	90251	47117
1314	90311	47044
1315	90379	46975
1316	90447	46906
1317	90506	46832
1318	90566	46759
1319	90627	46687
1320	90685	46612
1321	90745	46539
1322	90806	46467
1323	90867	46394
1324	90932	46324
1325	91007	46258
1326	91068	46186
1327	91136	46117
1328	91213	46053
1329	91270	45978
1330	91334	45907
1331	91395	45835
1332	91459	45764
1333	91531	45697
1334	91588	45622
1335	91655	45553
1336	91714	45480
1337	91776	45407
1338	91834	45334
1339	91895	45261
1340	91954	45188
1341	92013	45115
1342	92074	45043
1343	92138	44972
1344	92200	44900
1345	92255	44825
1346	92314	44752
1347	92375	44679
1348	92442	44610
1349	92517	44545
1350	92579	44473
1351	92638	44400
1352	92701	44329
1353	92763	44257
1354	92826	44186
1355	92885	44113
1356	92945	44040
1357	93008	43969
1358	93072	43899
1359	93152	43836
1360	93220	43767
1361	93281	43695
1362	93343	43624
1363	93401	43550
1364	93469	43482
1365	93531	43410
1366	93592	43338
1367	93646	43263
1368	93715	43195
1369	93778	43124
1370	93836	43051
1371	93894	42977
1372	93957	42907
1373	94017	42834
1374	94077	42762
1375	94142	42692
1376	94204	42621
1377	94273	42552
1378	94337	42482
1379	94399	42411
1380	94462	42340
